Gene,WT_10,WT_12,WT_7,WT_8,mC4_4,mC4_5,mC4_6,mC4_7
ENSMUSG00000085507.1,0,0,1,0,1,0,2,9
ENSMUSG00000094926.1,0,0,0,0,1,0,0,2
ENSMUSG00000085079.3,2,0,4,3,4,2,4,3
ENSMUSG00000085679.2,0,0,0,0,0,0,0,0
ENSMUSG00000028033.16,15340,9900,16243,14229,12613,18780,17082,16935
ENSMUSG00000104138.1,2,0,0,0,0,0,0,0
ENSMUSG00000082935.3,80,57,76,91,136,94,109,106
ENSMUSG00000103748.1,2,0,0,3,0,0,0,0
ENSMUSG00000099692.1,0,0,0,0,0,1,2,0
ENSMUSG00000100418.1,0,0,0,0,0,0,0,0
ENSMUSG00000041670.16,38543,26560,38912,32697,40632,47504,45349,47506
ENSMUSG00000097642.1,0,0,0,2,0,0,0,0
ENSMUSG00000101468.1,0,0,0,0,2,0,0,1
ENSMUSG00000101227.1,6,2,0,2,7,21,13,10
ENSMUSG00000073730.2,0,0,0,0,2,2,0,1
ENSMUSG00000089553.1,0,0,0,0,0,0,0,0
ENSMUSG00000102766.1,0,3,4,0,3,7,0,2
ENSMUSG00000065405.3,0,0,0,0,0,0,0,0
ENSMUSG00000097970.1,3,4,2,0,5,7,6,3
ENSMUSG00000065567.1,0,0,0,0,0,0,0,0
ENSMUSG00000100775.1,0,6,0,0,0,2,2,0
ENSMUSG00000101226.1,0,0,0,2,0,0,0,0
ENSMUSG00000026158.11,9449,7529,10520,8285,10047,12588,12556,12260
ENSMUSG00000097920.1,0,0,0,0,0,0,1,0
ENSMUSG00000099503.1,0,0,0,0,0,0,0,0
ENSMUSG00000026156.8,366,301,319,230,483,556,658,568
ENSMUSG00000026155.13,2981,2516,2676,2479,3171,4490,4602,4577
ENSMUSG00000026154.4,816,790,932,793,907,1233,1369,1097
ENSMUSG00000102495.1,0,0,3,0,3,0,0,0
ENSMUSG00000026153.15,2617,1783,2663,2267,2418,3180,3346,3146
ENSMUSG00000102398.1,44,14,23,22,24,36,43,26
ENSMUSG00000097670.1,0,0,0,0,0,0,0,0
ENSMUSG00000026147.16,62,86,141,80,136,133,124,143
ENSMUSG00000026141.13,1623,802,1490,1864,1401,1954,1660,1881
ENSMUSG00000077463.1,0,0,0,0,0,0,0,0
ENSMUSG00000099997.1,25,22,29,19,34,30,37,25
